ageNaiveBayes,ageRandomForest,ageSGD,ageSVM,id,realAge
10-17,18-24,10-17,18-24,ampii_sola,10-17
10-17,18-24,10-17,18-24,_brisa17abigail,10-17
10-17,10-17,25-34,18-24,ro_castiglioni,10-17
10-17,18-24,10-17,18-24,julidorado15,10-17
10-17,25-34,10-17,18-24,tomii0410,10-17
10-17,18-24,10-17,18-24,lucasanhornok,10-17
35-49,10-17,50-xx,18-24,faccumu,10-17
10-17,10-17,10-17,18-24,gonzamederos1,10-17
10-17,10-17,10-17,18-24,santirayu,10-17
10-17,25-34,10-17,18-24,elenavama,18-24
10-17,18-24,10-17,18-24,roburato1,18-24
10-17,18-24,10-17,18-24,florburelli,18-24
10-17,10-17,10-17,18-24,roohernande,18-24
10-17,10-17,10-17,18-24,agus_gonzalez26,18-24
10-17,10-17,10-17,18-24,elianamartin8,18-24
18-24,25-34,10-17,18-24,institutoui,18-24
10-17,18-24,10-17,18-24,valentinaaa1297,18-24
10-17,10-17,10-17,18-24,mikaag_smile,18-24
35-49,50-xx,50-xx,18-24,maria_vega_,25-34
25-34,25-34,50-xx,18-24,ojecua,25-34
25-34,35-49,50-xx,18-24,shora,25-34
18-24,35-49,10-17,18-24,claudiogarcia82,25-34
18-24,25-34,10-17,18-24,ivanpuente,25-34
35-49,35-49,50-xx,18-24,carmen_rrhh,25-34
18-24,35-49,10-17,18-24,jesusgallent,25-34
35-49,25-34,25-34,18-24,catyforteza,25-34
35-49,25-34,10-17,18-24,anavidalegea,25-34
35-49,35-49,10-17,18-24,eblanperis,25-34
18-24,35-49,10-17,18-24,respetocanas,25-34
50-xx,35-49,50-xx,18-24,mmendizabal1,35-49
35-49,50-xx,10-17,18-24,olgarodriguezfr,35-49
25-34,35-49,10-17,18-24,mfeijoo,35-49
18-24,35-49,10-17,18-24,srouvier,35-49
35-49,35-49,50-xx,18-24,ser_seo,35-49
18-24,25-34,10-17,18-24,marta_dominguez,35-49
35-49,35-49,10-17,18-24,a_valenzuela,35-49
18-24,35-49,10-17,18-24,maripuchi,35-49
18-24,25-34,10-17,18-24,jsanchezfranco,35-49
35-49,35-49,50-xx,18-24,sboxcoaching,35-49
25-34,50-xx,50-xx,18-24,mabelbullon,35-49
50-xx,50-xx,50-xx,18-24,carlosecue,35-49
25-34,35-49,10-17,18-24,emiliodebenito,35-49
35-49,35-49,50-xx,18-24,diegoisabel1,35-49
35-49,18-24,50-xx,18-24,helenaresano,35-49
35-49,50-xx,50-xx,18-24,sandra_garciaf,35-49
25-34,50-xx,50-xx,18-24,globalbrand_,35-49
25-34,35-49,50-xx,18-24,quiquemateuvlc,35-49
35-49,50-xx,50-xx,18-24,mistrals,50-xx
25-34,50-xx,10-17,18-24,juancarcubeiro,50-xx
50-xx,50-xx,50-xx,18-24,gomezdelpozuelo,50-xx
50-xx,50-xx,50-xx,18-24,juantorreslopez,50-xx
50-xx,50-xx,50-xx,18-24,perezreverte,50-xx
35-49,50-xx,50-xx,18-24,anamariallopis,50-xx
35-49,35-49,10-17,18-24,rodriguezbraun,50-xx
50-xx,35-49,50-xx,18-24,esperanzaguirre,50-xx
25-34,50-xx,10-17,18-24,juanjomorodo,50-xx
10-17,50-xx,10-17,18-24,camfla,50-xx
35-49,25-34,10-17,18-24,publicisimpetu,50-xx
10-17,18-24,10-17,18-24,ksergio80,50-xx
