ageNaiveBayes,ageRandomForest,ageSGD,ageSVM,id,realAge
18-24,18-24,25-34,18-24,ralphalmuser,18-24
25-34,35-49,18-24,18-24,naturalvoyager,50-xx
35-49,50-xx,35-49,18-24,mistrals,50-xx
25-34,35-49,18-24,18-24,mfeijoo,35-49
25-34,35-49,35-49,18-24,a_valenzuela,35-49
25-34,35-49,35-49,18-24,alberto_blanco,35-49
25-34,35-49,18-24,18-24,ser_seo,35-49
35-49,35-49,35-49,18-24,gomezdelpozuelo,50-xx
18-24,35-49,18-24,18-24,marta_dominguez,35-49
18-24,25-34,18-24,18-24,javierbri,35-49
18-24,35-49,18-24,18-24,rafadiaz1,25-34
25-34,35-49,18-24,18-24,mateodomenech,50-xx
25-34,50-xx,18-24,18-24,thffernando,35-49
18-24,35-49,18-24,18-24,jgarridoo,50-xx
25-34,35-49,18-24,18-24,sandra_garciaf,35-49
25-34,35-49,18-24,18-24,pep_jimenez,35-49
25-34,50-xx,18-24,18-24,joancmarch,50-xx
50-xx,35-49,50-xx,18-24,lopezdoriga,50-xx
25-34,25-34,35-49,18-24,diegocobelo,25-34
18-24,35-49,18-24,18-24,ivanpuente,25-34
50-xx,50-xx,35-49,18-24,jesusencinar,35-49
18-24,25-34,18-24,18-24,jordimirobruix,35-49
25-34,35-49,18-24,18-24,pepecuesta,35-49
18-24,25-34,18-24,18-24,juancmselma,35-49
25-34,35-49,18-24,18-24,monicamoro,35-49
25-34,35-49,35-49,18-24,carmen_rrhh,25-34
25-34,25-34,18-24,18-24,joanplanas,25-34
25-34,35-49,18-24,18-24,victoriabioque,25-34
50-xx,18-24,35-49,18-24,milaximenez,50-xx
18-24,18-24,18-24,18-24,jesusgallent,25-34
18-24,25-34,18-24,18-24,leonardpera,35-49
25-34,35-49,18-24,18-24,corallarrosa,35-49
25-34,18-24,10-17,18-24,almarro1,35-49
50-xx,18-24,35-49,18-24,miss_belmont,18-24
25-34,35-49,18-24,18-24,billiesastre,35-49
50-xx,35-49,35-49,18-24,cris_villanueva,35-49
18-24,25-34,18-24,18-24,lourdesverger,25-34
50-xx,35-49,35-49,18-24,_anamilan_,35-49
25-34,35-49,18-24,18-24,wellcomm,50-xx
25-34,35-49,18-24,18-24,albeitar,50-xx
