ageNaiveBayes,ageRandomForest,id,realAge
18-24,35-49,naturalvoyager,65-xx
35-49,18-24,srouvier,35-49
35-49,35-49,maritriniginer,25-34
35-49,50-64,luistomala,25-34
25-34,18-24,jesusferre,35-49
35-49,35-49,rafadiaz1,25-34
35-49,35-49,ginesalarcon,35-49
35-49,18-24,titatorro,18-24
35-49,18-24,heteronima,25-34
35-49,18-24,carmechaparro,35-49
35-49,35-49,juanant_galindo,35-49
35-49,35-49,evacolladoduran,35-49
35-49,18-24,jalguerrero,50-64
50-64,35-49,acedotor,50-64
35-49,18-24,webempresa20,50-64
35-49,18-24,almarro1,35-49
35-49,18-24,andreurobuste,25-34
35-49,18-24,carlosguadian,35-49
35-49,18-24,perejoanmitjans,50-64
35-49,35-49,luismiguelcas,35-49
25-34,25-34,amigerpe,25-34
35-49,18-24,ezequielherraiz,10-17
35-49,18-24,paulimoraless,18-24
35-49,18-24,elritual,18-24
35-49,18-24,sebastianfest,18-24
35-49,18-24,gambaargentina,18-24
25-34,18-24,santiagocalerok,25-34
35-49,18-24,al3xm4cie1,18-24
10-17,10-17,emi_difabio,18-24
35-49,18-24,fedepellegrini_,25-34
18-24,18-24,micaperk,18-24
35-49,18-24,ailenskerlj,18-24
