ageNaiveBayes,ageRandomForest,id,realAge
25-34,35-49,naturalvoyager,50-xx
35-49,35-49,a_valenzuela,35-49
50-xx,35-49,jsanchezfranco,35-49
25-34,35-49,chgarciacortes,50-xx
35-49,35-49,maitefinch,35-49
35-49,35-49,segundaopor,25-34
35-49,35-49,ginesalarcon,35-49
25-34,35-49,helenaresano,35-49
25-34,35-49,pabloformoso,25-34
50-xx,35-49,monicamoro,35-49
35-49,35-49,juanant_galindo,35-49
35-49,35-49,jalguerrero,50-xx
35-49,35-49,carmen_rrhh,25-34
50-xx,35-49,acedotor,50-xx
35-49,35-49,anamariallopis,50-xx
35-49,35-49,granero,35-49
35-49,35-49,andreurobuste,25-34
35-49,35-49,carlosguadian,35-49
25-34,35-49,respetocanas,25-34
35-49,35-49,luismiguelcas,35-49
50-xx,35-49,iescolar,35-49
35-49,35-49,ezequielherraiz,18-24
35-49,35-49,paulimoraless,25-34
35-49,35-49,elritual,25-34
25-34,35-49,javyyvarela,25-34
35-49,35-49,08brunook,25-34
35-49,35-49,gambaargentina,25-34
35-49,35-49,al3xm4cie1,25-34
25-34,35-49,denumalsam,18-24
25-34,25-34,cathiib,25-34
18-24,35-49,micaperk,25-34
35-49,35-49,zaii_aiilen,18-24
25-34,35-49,cristian_i_s,25-34
