ageNaiveBayes,ageRandomForest,id,realAge
35-49,25-34,pachogruas,25-34
25-34,35-49,naturalvoyager,50-xx
35-49,25-34,isanseba,50-xx
35-49,35-49,juancarcubeiro,50-xx
25-34,25-34,antoniorull,25-34
10-17,35-49,angelmgtech,25-34
35-49,35-49,ser_seo,35-49
25-34,25-34,srouvier,35-49
25-34,35-49,marta_dominguez,35-49
35-49,35-49,sorianomarina,18-24
25-34,35-49,marielabejar,35-49
35-49,25-34,vanis,35-49
35-49,18-24,titatorro,18-24
25-34,35-49,jgarridoo,50-xx
25-34,35-49,pep_jimenez,35-49
35-49,35-49,silviacobo,35-49
35-49,35-49,sandra_garciaf,35-49
25-34,35-49,pabloformoso,25-34
10-17,25-34,heteronima,25-34
25-34,35-49,globalbrand_,35-49
25-34,35-49,julietabolullo,25-34
35-49,35-49,pepecuesta,35-49
10-17,35-49,mrgomezponce,35-49
25-34,35-49,juancmselma,35-49
35-49,35-49,mranera,50-xx
10-17,35-49,lutxana,25-34
50-xx,25-34,milaximenez,50-xx
25-34,35-49,hector_cabrera_,35-49
35-49,35-49,anamariallopis,50-xx
35-49,35-49,nataliagomez_es,35-49
18-24,35-49,jesusgallent,25-34
25-34,35-49,energica,25-34
35-49,35-49,aliciapomares,35-49
50-xx,18-24,chapoypati,50-xx
35-49,35-49,mgdelpozuelo,35-49
18-24,35-49,pcvillarcayo,35-49
35-49,35-49,charoizquierdo,50-xx
25-34,35-49,gomezrufo,50-xx
18-24,35-49,factoriagris,35-49
35-49,35-49,rodriguezbraun,50-xx
25-34,25-34,mlaudisio,25-34
35-49,35-49,manuelgimnez,35-49
25-34,35-49,el_pakozoico,25-34
35-49,35-49,luisdiazdeldedo,25-34
35-49,35-49,acliment,35-49
25-34,35-49,carmengelices,35-49
50-xx,35-49,esperanzaguirre,50-xx
35-49,35-49,teresa_perales,35-49
18-24,25-34,pablo_astudillo,25-34
35-49,35-49,ejoana,50-xx
50-xx,35-49,iescolar,35-49
18-24,25-34,amigerpe,25-34
50-xx,25-34,carmenalcayde,35-49
18-24,18-24,juliett1215,18-24
18-24,18-24,sofi_devega,18-24
18-24,18-24,marcecosta1891,18-24
18-24,25-34,alejandroide_25,35-49
18-24,18-24,tomii0410,18-24
18-24,18-24,alemandra19,18-24
10-17,25-34,camfla,50-xx
18-24,25-34,gabrielf0rmento,25-34
18-24,18-24,fraancodaaniel1,18-24
10-17,25-34,jurimarok,10-17
18-24,18-24,neverlandlss,18-24
35-49,25-34,damianloyarte,25-34
18-24,25-34,facusuarez08,25-34
18-24,18-24,silvakaren8,25-34
18-24,18-24,micaelaagomeez1,25-34
10-17,18-24,damindylanpino1,18-24
10-17,18-24,astrosgarbuyo,25-34
18-24,18-24,maguicamposs,18-24
10-17,18-24,yulijusto13,18-24
18-24,18-24,dorregocaro,18-24
18-24,25-34,djnilogb,25-34
18-24,25-34,yuliireynoso,25-34
18-24,18-24,karusilva1,18-24
10-17,18-24,paufrancisco123,10-17
18-24,18-24,lucasanhornok,18-24
18-24,25-34,criscedola,25-34
10-17,25-34,laurabat55,50-xx
18-24,25-34,coty_gastaldo,25-34
10-17,25-34,jhonagarcia5,35-49
18-24,18-24,lucilagav,25-34
10-17,25-34,nikko_cabrera,25-34
18-24,25-34,dangaer,35-49
10-17,10-17,karolse48822803,18-24
25-34,25-34,cgezzio,25-34
10-17,18-24,daiogarcia2,25-34
18-24,18-24,leytonley,25-34
10-17,18-24,galebuena,18-24
18-24,18-24,ssdiaz19,25-34
25-34,18-24,ivandjdv,18-24
10-17,18-24,ludfdz102,18-24
18-24,18-24,martinfagundez,25-34
25-34,35-49,grupohasar,50-xx
18-24,18-24,antotusa,25-34
10-17,18-24,andreamachado57,18-24
18-24,18-24,nacho744,18-24
18-24,25-34,abrucelibertiok,25-34
35-49,25-34,publicisimpetu,50-xx
18-24,25-34,valelucas_95,25-34
18-24,18-24,tatianamartin3z,18-24
18-24,18-24,velazquezkevin1,18-24
18-24,18-24,roldanrodrigo3,18-24
18-24,25-34,nicolastripoli,25-34
10-17,18-24,demarcobianca,10-17
10-17,25-34,annto_b,25-34
18-24,25-34,luucasnico,25-34
18-24,25-34,milulaarroquy,25-34
18-24,18-24,sistimartin,25-34
18-24,25-34,iaanerik,25-34
10-17,25-34,gustavoanselmi1,35-49
10-17,18-24,spastrana_01,10-17
10-17,25-34,nahubacigaluppi,18-24
10-17,25-34,liberluna,25-34
10-17,18-24,lu_leg_,18-24
18-24,18-24,joseerosaa,25-34
10-17,18-24,alan_corrarello,18-24
18-24,18-24,naniolivera1,18-24
18-24,25-34,macakroneberger,25-34
10-17,18-24,joaking_ok,10-17
18-24,25-34,marinoni22,25-34
18-24,18-24,alvarezfiorelaa,25-34
10-17,25-34,lubirenc,25-34
10-17,25-34,gabriel_218,35-49
